sample,species
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23060404_S1_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23060404_S265_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23060404_S265_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23060404_S265_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23060404_S265_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23091057_S1_L001_R1_001.fastq.gz,pv
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23091057_S270_L001_R1_001.fastq.gz,pv
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23091057_S270_L002_R1_001.fastq.gz,pv
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23091057_S270_L003_R1_001.fastq.gz,pv
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23091057_S270_L004_R1_001.fastq.gz,pv
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113261_S266_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113261_S266_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113261_S266_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113261_S266_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113261_S2_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113287_S267_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113287_S267_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113287_S267_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113287_S267_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/23113287_S3_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/24011925_S268_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/24011925_S268_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/24011925_S268_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/24011925_S268_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/24011925_S4_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5530_S258_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5530_S258_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5530_S258_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5530_S258_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5629_S274_L001_R1_001.fastq.gz,pm
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5629_S274_L002_R1_001.fastq.gz,pm
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5629_S274_L003_R1_001.fastq.gz,pm
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5629_S274_L004_R1_001.fastq.gz,pm
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5639_S259_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5639_S259_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5639_S259_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5639_S259_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5661_S260_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5661_S260_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5661_S260_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5661_S260_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5670_S261_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5670_S261_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5670_S261_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5670_S261_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5670_S4_L001_R1_001.fastq.gz,pf
